Title,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri
Haikyuu!! Second Season,0,0,0,0.447213595499958,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0.447213595499958,0,0,0,0.447213595499958,0,0,0,0,0,0
Shigatsu wa Kimi no Uso,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0.447213595499958,0,0.447213595499958,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0
Made in Abyss,0,0.447213595499958,0,0,0,0,0.447213595499958,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fullmetal Alchemist: Brotherhood,0.353553390593274,0.353553390593274,0,0.353553390593274,0,0,0.353553390593274,0,0.353553390593274,0,0,0,0,0,0,0,0.353553390593274,0,0,0.353553390593274,0,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0,0,0,0,0,0,0
Kizumonogatari III: Reiketsu-hen,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
Mob Psycho 100 II,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0
Sen to Chihiro no Kamikakushi,0,0.577350269189626,0,0,0,0,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269189626,0,0,0,0
Kimetsu no Yaiba,0.447213595499958,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0.447213595499958,0,0,0,0
Owarimonogatari 2nd Season,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
Code Geass: Hangyaku no Lelouch R2,0.408248290463863,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0.408248290463863,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,0,0,0,0.447213595499958,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0.447213595499958,0,0,0,0.447213595499958,0,0,0,0,0,0
Gintama.,0.377964473009227,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0.377964473009227,0,0.377964473009227,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,0.377964473009227,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0.377964473009227,0,0.377964473009227,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0
Gintama,0.377964473009227,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0.377964473009227,0,0.377964473009227,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0
Clannad: After Story,0,0,0,0.447213595499958,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0.447213595499958,0,0,0,0
Gintama': Enchousen,0.377964473009227,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0.377964473009227,0,0.377964473009227,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0
One Punch Man,0.377964473009227,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0.377964473009227,0.377964473009227,0,0,0,0,0,0,0,0.377964473009227,0.377964473009227,0,0,0,0
Kaguya-hime no Monogatari,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koukaku Kidoutai 2.0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0.408248290463863,0.408248290463863,0,0,0,0.408248290463863,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saraiya Goyou,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0.447213595499958,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Seiya: Meiou Hades Meikai-hen,0.377964473009227,0.377964473009227,0,0,0,0.377964473009227,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0.377964473009227,0,0,0,0,0.377964473009227,0,0,0,0,0
Noragami OVA,0.447213595499958,0.447213595499958,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0.447213595499958,0,0,0,0
Lupin III: Part II,0.447213595499958,0.447213595499958,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",0,0,0,0.577350269189626,0,0,0,0,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269189626,0,0,0,0,0,0,0,0
Kuroko no Basket 2nd Season NG-shuu,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0
